Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-07-06T09:02:59.488Z,,,Included,auto,No,0,3893,433376,1855,439124,Included
2026-07-06T08:55:25.903Z,,,Included,auto,No,0,2119,560224,1491,563834,Included
2026-07-06T08:49:36.925Z,,,Included,auto,No,0,7073,670496,5265,682834,Included
2026-07-06T08:48:27.681Z,,,Included,auto,No,0,2361,255712,1329,259402,Included
2026-07-06T08:47:05.677Z,,,Included,auto,No,0,1942,506112,1502,509556,Included
2026-07-06T08:46:02.970Z,,,Included,auto,No,0,12736,580448,1843,595027,Included
2026-07-06T08:44:26.279Z,,,Included,auto,No,0,8295,416480,6908,431683,Included
2026-07-06T08:42:03.438Z,,,Included,auto,No,0,16163,666080,5725,687968,Included
2026-07-06T08:39:20.497Z,,,Included,auto,No,0,75441,857600,5839,938880,Included
2026-07-06T08:35:47.481Z,,,Included,auto,No,0,22171,802757,11708,836636,Included
2026-07-06T08:35:02.316Z,,,Included,auto,No,0,45907,114388,774,161069,Included
2026-07-06T08:34:12.698Z,,,Included,auto,No,0,197,50784,1278,52259,Included
2026-07-06T08:33:41.866Z,,,Included,auto,No,0,48798,101568,734,151100,Included
2026-07-06T08:28:39.829Z,,,Included,auto,No,0,12850,174944,3384,191178,Included
2026-07-06T08:20:28.887Z,,,Included,auto,No,0,43486,215520,7350,266356,Included
2026-07-06T08:19:10.400Z,,,Included,auto,No,0,31781,58432,2893,93106,Included
2026-07-05T20:06:07.124Z,,,Included,claude-opus-4-8-thinking-high,No,2420,6,354704,576,357706,Included
2026-07-05T20:04:02.652Z,,,Included,claude-opus-4-8-thinking-high,No,117358,20,1036265,4832,1158475,Included
2026-07-05T20:00:21.944Z,,,Included,claude-opus-4-8-thinking-high,No,110423,14,627109,4778,742324,Included
2026-07-05T19:56:42.064Z,,,Included,claude-opus-4-8-thinking-high,No,191139,32,849736,14790,1055697,Included
2026-07-05T19:54:47.136Z,,,Included,auto,No,0,18461,1312,232,20005,Included
2026-07-05T19:50:02.030Z,,,Included,auto,No,0,6337,646208,1435,653980,Included
2026-07-05T19:48:04.141Z,,,Included,auto,No,0,23214,638592,8444,670250,Included
2026-07-05T19:46:26.066Z,,,Included,auto,No,0,55198,550112,9295,614605,Included
2026-07-05T19:42:40.638Z,,,Included,auto,No,0,54362,252352,7844,314558,Included
2026-07-05T19:40:22.550Z,,,Included,auto,No,0,27917,70176,760,98853,Included
